"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.102186767516717,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.104900034650781,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.115331000352255,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.111448556517911,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.106555841855485,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.101817894672979,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.127931271945846,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.126738834551452,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.121678254767909,
"MEX","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.121826057005014,"E"
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.788202448409819,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.633217055029022,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.643630431558653,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.653720692592614,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.700675480245314,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.762415420736031,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2013",1.0068854370109,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.815516727803794,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.609662856039225,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.715681911621273,
"ZAF","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.636976610032705,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.238012218971241,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.261128141207277,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.28532566317197,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.28012627914806,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.29225570336166,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.277601816162462,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.282682839780755,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.231260038089889,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.232395580852783,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.218708117062186,
"SWE","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.203043375141015,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.235080289473158,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.177187672162392,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.194233829448657,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.191127425085078,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.177439412781704,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.219353408398102,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.259284973471504,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.279487414538888,
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.26848789900285,"E"
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.254913853871248,"E"
"FRA","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.244804921683746,"E"
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.390374899804049,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.45426554523757,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.814341577295284,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.798761229754031,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.756253805223375,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.733251698763075,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.600403340653854,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.667630935817786,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.558449118397853,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.469611260394284,
"ISL","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.446887132179993,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.126667134019173,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.177373727491996,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.091026639434592,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2010",-0.033189258779817,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2011",-0.012961351014887,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.208289625791486,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.146528164212058,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.132108920955683,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.06943309434541,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.076341746240116,
"LUX","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.072449995353563,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.338248617203891,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.424763236665195,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.55771641034823,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.47753497170535,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.490682257138383,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.542657125228941,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.586886796866472,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.674606146855417,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.869447781906917,
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.893645436985448,"E"
"ESP","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.794720278549667,"E"
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.124160255415383,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.126997565879987,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.123825478913249,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.124593848484108,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.102789008428699,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.08966599417171,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.09284404521505,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.094708180419084,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.086624681010465,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.064042353343011,
"FIN","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.064544757755456,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.244586998808903,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.271894710304904,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.216297729254649,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.197210927820298,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.220186101058996,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.230975068380026,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.216231883391206,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.20648557856109,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.071699154139494,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.067687186341513,
"BEL","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.067082864787312,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2007",-0.050139015569167,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.004777470348886,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2009",-0.121712527220774,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2010",-0.18530025137319,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.066405300535383,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.24144642927025,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2013",-0.059180159447747,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.002465649680435,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.201325610659308,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.035732244804434,
"IRL","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.030641520919764,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.161933607221039,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.15385029726436,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.171646103123619,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.162023140315451,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.167553806989123,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.158473199111806,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.158167439323698,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.167359578536723,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.154084483664832,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.175218127165974,
"POL","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.170867878258056,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.654682694894123,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.713750027396947,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.798650847437287,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.931852945926183,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.974270208690352,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.908183566172952,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.679889712310698,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.726401067638321,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.660020445408229,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.699121773525863,
"HUN","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.60212475579356,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.258135154479347,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.420978798468924,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.669765529807179,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.603016648171259,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.538037620840972,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.300035331314349,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.505394202909476,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.518544753444698,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.52704219149836,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.936464187121761,
"EST","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.256745060508575,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.248927039945568,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.23545794889217,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.235442344274639,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.203430208885268,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.179362596986737,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.14271332108308,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.150074601816573,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.165578835792687,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.147184400808465,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.134178293941125,
"AUT","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.116761061880043,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.198717538817465,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.176554711192721,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.205815054655508,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.21156137608019,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.21411453185478,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.241148789343263,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.257493107252168,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.24429499550671,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.232482720226604,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.221531542306941,
"ITA","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.216681086841264,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.39026759692661,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.345863371095091,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.364715685407799,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.339715902962431,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.3377640656147,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.193356484144103,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.283811821565609,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.310126144408828,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.276164057400029,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2016",0.324888366943828,
"CZE","GFCFASSET","CULTASSET","PC_GFCF","A","2017",0.231676157337562,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2007",3.02555709510157,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2008",2.86216856963006,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.773508193669438,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2010",1.36624695437178,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2011",1.86519999915025,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2012",1.85401867303746,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2013",1.67447952118479,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2014",1.07473330276476,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.966142791957387,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2016",1.19845916113819,
"SVK","GFCFASSET","CULTASSET","PC_GFCF","A","2017",1.24177745860783,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2007",0.304545244702343,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2008",0.298425210540575,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2009",0.451279801398455,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2010",0.420675413367211,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2011",0.412243142940063,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2012",0.393700944452046,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2013",0.519158716592094,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2014",0.582185134471017,
"SVN","GFCFASSET","CULTASSET","PC_GFCF","A","2015",0.63241817314972,
